Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nDSX_mean,nDSX_var,nDSX_stdev,nDSX_max,nDSX_min,nDSX_median,nDSX_muc,nDSX_notempty,cDSX_mean,cDSX_var,cDSX_stdev,cDSX_max,cDSX_min,cDSX_median,cDSX_muc,cDSX_notempty
1108,1128.000000,1170324.000000,995408.000000,1692.000000,1037.521277,882.453901,1.500000,1410.000000,28991.602837,27089.489362,-10578.893617,0.000000,0.000000,0.120081,2.469032,2.307041,-0.900938,0.000000,0.000000,4.896154,5.457985,0.586531,4.896154,2.336233,0.837074,11.000000,11.000000,2.000000,882,1038,2,872,1027,0,893,1048,3,2.938830,   741.422164,    27.229068,   255.000000,     0.000000,     0.000000,  3315.000000,13,2.073582,    23.259000,     4.822759,    41.000000,     0.000000,     0.000000,  2339.000000,483
1109,1732.000000,1799760.000000,826332.000000,2598.000000,1039.122402,477.096998,1.500000,2165.000000,88671.704388,61138.050808,-40448.563510,0.000000,0.000000,0.104086,4.263058,2.939326,-1.944640,0.000000,0.000000,7.306470,9.498561,0.910641,7.306470,3.081973,0.969279,12.000000,17.000000,2.000000,477,1039,2,464,1028,0,494,1051,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.746536,   110.431964,    10.508661,    96.000000,     0.000000,     0.000000,  6489.000000,461
1110,3964.000000,4143660.000000,2637700.000000,5946.000000,1045.322906,665.413724,1.500000,4955.000000,468897.493441,295514.680121,-109981.566095,0.000000,0.000000,0.078983,7.474229,4.710506,-1.753107,0.000000,0.000000,12.263717,33.096397,2.538032,12.263717,5.752947,1.364057,21.000000,25.000000,2.000000,665,1045,2,642,1028,0,690,1066,3,0.707619,   179.987416,    13.415939,   255.000000,     0.000000,     0.000000,  2805.000000,11,3.221998,    87.931022,     9.377154,   113.000000,     0.000000,     0.000000, 12772.000000,1255
1111,1072.000000,1111660.000000,1021796.000000,1608.000000,1036.996269,953.167910,1.500000,1340.000000,45629.776119,16923.985075,-63.328358,0.000000,0.000000,0.122136,4.158997,1.542563,-0.005772,0.000000,0.000000,5.823697,7.111850,0.783564,5.823697,2.666805,0.921916,8.000000,18.000000,2.000000,953,1037,2,935,1029,0,964,1044,3,1.427239,   362.246802,    19.032782,   255.000000,     0.000000,     0.000000,  1530.000000,6,1.145522,    17.868626,     4.227130,    63.000000,     0.000000,     0.000000,  1228.000000,226
1112,2692.000000,2835452.000000,2927128.000000,4038.000000,1053.288262,1087.343239,1.500000,3365.000000,75550.846954,324488.309064,-28938.353640,0.000000,0.000000,0.089857,2.017465,8.664942,-0.772752,0.000000,0.000000,10.772263,17.843956,1.517151,10.772263,4.224211,1.149061,22.000000,13.000000,2.000000,1087,1053,2,1077,1031,0,1100,1074,3,0.757801,   192.736561,    13.882959,   255.000000,     0.000000,     0.000000,  2040.000000,8,1.197994,    15.867510,     3.983404,    47.000000,     0.000000,     0.000000,  3225.000000,654
1113,2456.000000,2579928.000000,2762920.000000,3684.000000,1050.459283,1124.967427,1.500000,3070.000000,91581.394137,212777.928339,45012.742671,0.000000,0.000000,0.092648,2.763776,6.421287,1.358410,0.000000,0.000000,9.277710,16.752691,1.473255,9.277710,4.093005,1.137870,20.000000,16.000000,2.000000,1125,1050,2,1109,1031,0,1137,1070,3,1.557410,   394.874910,    19.871460,   255.000000,     0.000000,     0.000000,  3825.000000,15,0.452769,     2.415691,     1.554249,    23.000000,     0.000000,     0.000000,  1112.000000,430
1114,2420.000000,2529340.000000,1218092.000000,3630.000000,1045.181818,503.343802,1.500000,3025.000000,129457.957025,116992.000000,-18867.272727,0.000000,0.000000,0.093105,3.984510,3.600828,-0.580705,0.000000,0.000000,7.678442,14.716547,1.304426,7.678442,3.836215,1.092630,15.000000,18.000000,2.000000,503,1045,2,488,1032,0,521,1060,3,0.130165,    13.473335,     3.670604,   120.000000,     0.000000,     0.000000,   315.000000,4,3.297934,   111.219591,    10.546070,    99.000000,     0.000000,     0.000000,  7981.000000,623
1115,768.000000,798208.000000,203648.000000,1152.000000,1039.333333,265.166667,1.500000,960.000000,18794.666667,9770.666667,-4510.666667,0.000000,0.000000,0.136497,2.672307,1.389236,-0.641346,0.000000,0.000000,4.198039,3.855527,0.450595,4.198039,1.963550,0.766647,9.000000,12.000000,2.000000,265,1039,2,257,1033,0,277,1048,3,0.309896,    69.538781,     8.338992,   231.000000,     0.000000,     0.000000,   238.000000,2,2.014323,    24.882454,     4.988232,    30.000000,     0.000000,     0.000000,  1547.000000,228
1116,2380.000000,2485404.000000,2162180.000000,3570.000000,1044.287395,908.478992,1.500000,2975.000000,218921.949580,91863.421849,-62847.630252,0.000000,0.000000,0.093623,6.889484,2.890946,-1.977818,0.000000,0.000000,9.874054,16.921041,1.498476,9.874054,4.113519,1.144327,16.000000,24.000000,2.000000,908,1044,2,890,1033,0,932,1060,3,1.814286,   456.484201,    21.365491,   255.000000,     0.000000,     0.000000,  4318.000000,18,3.387395,   103.020102,    10.149882,   118.000000,     0.000000,     0.000000,  8062.000000,850
1117,3204.000000,3382996.000000,3313084.000000,4806.000000,1055.866417,1034.046192,1.500000,4005.000000,182525.163546,330090.826467,40163.770287,0.000000,0.000000,0.084790,3.864258,6.988384,0.850311,0.000000,0.000000,10.937432,27.202086,2.228448,10.937432,5.215562,1.306173,23.000000,19.000000,2.000000,1034,1056,2,1018,1033,0,1053,1076,3,6.526217,  1622.100155,    40.275305,   255.000000,     0.000000,     0.000000, 20910.000000,82,1.444757,    20.084677,     4.481593,    49.000000,     0.000000,     0.000000,  4629.000000,936
1118,1916.000000,2009460.000000,759080.000000,2874.000000,1048.778706,396.179541,1.500000,2395.000000,74210.237996,80290.171190,14180.125261,0.000000,0.000000,0.100642,3.118433,3.373922,0.595872,0.000000,0.000000,6.592997,10.819690,1.023153,6.592997,3.289330,1.007659,15.000000,12.000000,2.000000,396,1049,2,384,1034,0,408,1063,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.135177,   141.886156,    11.911598,   106.000000,     0.000000,     0.000000,  7923.000000,578
