Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,DSXmol_mean,DSXmol_var,DSXmol_stdev,DSXmol_max,DSXmol_min,DSXmol_median,DSXmol_muc,DSXmol_notempty,celnumber
1648,8.000000,6193.000000,7543.000000,0.000000,774.125000,942.875000,0.000000,0.000000,4.875000,4.875000,1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,943,774,0,942,773,0,944,775,0,41.250000,    98.785714,     9.939100,    54.000000,    23.000000,    42.000000,   330.000000,8,781
1649,8.000000,6196.000000,8312.000000,0.000000,774.500000,1039.000000,0.000000,0.000000,4.000000,10.000000,-4.000000,0.000000,0.000000,0.000000,0.250000,0.625000,-0.250000,0.000000,0.000000,0.875000,0.093750,0.000000,0.875000,0.306186,-0.000000,2.000000,1.000000,0.000000,1039,775,0,1038,773,0,1040,776,0,0.750000,     0.214286,     0.462910,     1.000000,     0.000000,     1.000000,     6.000000,6,0
1650,7.000000,5425.000000,5950.000000,0.000000,775.000000,850.000000,0.000000,0.000000,4.000000,4.000000,-2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,-0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,850,775,0,849,774,0,851,776,0,2.857143,     3.476190,     1.864454,     5.000000,     0.000000,     3.000000,    20.000000,6,775
1651,4.000000,3102.000000,3426.000000,0.000000,775.500000,856.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,857,776,0,856,775,0,857,776,0,2.250000,     0.250000,     0.500000,     3.000000,     2.000000,     2.000000,     9.000000,4,0
1652,12.000000,9322.000000,10566.000000,0.000000,776.833333,880.500000,0.000000,0.000000,11.000000,13.666667,0.000000,0.000000,0.000000,0.000000,0.400391,0.497456,0.000000,0.000000,0.000000,0.897847,0.199177,0.000000,0.897847,0.446292,-0.000000,2.000000,2.000000,0.000000,881,777,0,879,775,0,882,778,0,5.083333,     2.265152,     1.505042,     8.000000,     3.000000,     5.000000,    61.000000,12,807
1653,7.000000,5432.000000,6223.000000,0.000000,776.000000,889.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.000000,0.000000,0.000000,0.298719,0.298719,0.149359,0.000000,0.000000,0.597438,0.066925,0.000000,0.597438,0.258698,-0.000000,1.000000,1.000000,0.000000,889,776,0,888,775,0,890,777,0,2.428571,     0.619048,     0.786796,     3.000000,     1.000000,     3.000000,    17.000000,7,0
1654,12.000000,9320.000000,11643.000000,0.000000,776.666667,970.250000,0.000000,0.000000,10.250000,12.666667,-1.000000,0.000000,0.000000,0.000000,0.373092,0.461056,-0.036399,0.000000,0.000000,0.834148,0.170691,0.000000,0.834148,0.413148,-0.000000,2.000000,2.000000,0.000000,970,777,0,969,775,0,972,778,0,2.166667,     1.060606,     1.029857,     4.000000,     1.000000,     2.000000,    26.000000,12,788
1655,4.000000,3102.000000,4074.000000,0.000000,775.500000,1018.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,1019,776,0,1018,775,0,1019,776,0,2.000000,     0.666667,     0.816497,     3.000000,     1.000000,     2.000000,     8.000000,4,791
1656,4.000000,3106.000000,698.000000,0.000000,776.500000,174.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,175,777,0,174,776,0,175,777,0,3.250000,     0.250000,     0.500000,     4.000000,     3.000000,     3.000000,    13.000000,4,0
1657,4.000000,3106.000000,854.000000,0.000000,776.500000,213.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,214,777,0,213,776,0,214,777,0,2.000000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     8.000000,4,0
