Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,nHH_mean,nHH_var,nHH_stdev,nHH_max,nHH_min,nHH_median,nHH_muc,nHH_notempty,cHH_mean,cHH_var,cHH_stdev,cHH_max,cHH_min,cHH_median,cHH_muc,cHH_notempty
954,2428.000000,2200696.000000,1274928.000000,3642.000000,906.382208,525.093904,1.500000,3035.000000,239878.589786,72821.311367,22864.856672,0.000000,0.000000,0.093002,7.350664,2.231483,0.700654,0.000000,0.000000,9.675149,16.803128,1.479850,9.675149,4.099162,1.139565,13.000000,19.000000,2.000000,525,906,2,506,896,0,543,919,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.133031,   149.690165,    12.234793,   201.000000,     0.000000,     0.000000, 10035.000000,807
955,840.000000,761332.000000,573828.000000,1260.000000,906.347619,683.128571,1.500000,1050.000000,13190.114286,17134.495238,-2881.542857,0.000000,0.000000,0.132480,1.664215,2.161883,-0.363568,0.000000,0.000000,3.958579,3.972539,0.459130,3.958579,1.993123,0.771457,10.000000,9.000000,2.000000,683,906,2,674,896,0,691,916,3,0.083333,     3.049066,     1.746158,    48.000000,     0.000000,     0.000000,    70.000000,3,3.970238,   132.701139,    11.519598,   102.000000,     0.000000,     0.000000,  3335.000000,258
956,1752.000000,1599736.000000,1560252.000000,2628.000000,913.091324,890.554795,1.500000,2190.000000,54632.739726,106425.388128,38691.232877,0.000000,0.000000,0.103689,2.586669,5.038869,1.831894,0.000000,0.000000,7.729227,10.468733,1.003506,7.729227,3.235542,1.001167,16.000000,14.000000,2.000000,891,913,2,877,897,0,903,929,3,1.601027,   405.930393,    20.147714,   255.000000,     0.000000,     0.000000,  2805.000000,11,6.077626,   289.377180,    17.011090,   145.000000,     0.000000,     0.000000, 10648.000000,688
957,2184.000000,1993792.000000,2233640.000000,3276.000000,912.908425,1022.728938,1.500000,2730.000000,64231.531136,154549.684982,3533.787546,0.000000,0.000000,0.096344,2.266791,5.454203,0.124711,0.000000,0.000000,7.817338,13.091857,1.189657,7.817338,3.618267,1.059597,18.000000,14.000000,2.000000,1023,913,2,1009,897,0,1033,931,3,0.817308,   207.840635,    14.416679,   255.000000,     0.000000,     0.000000,  1785.000000,7,3.112179,   140.366246,    11.847626,   130.000000,     0.000000,     0.000000,  6797.000000,679
958,2904.000000,2650256.000000,2872312.000000,4356.000000,912.622590,989.088154,1.500000,3630.000000,272641.432507,148946.358127,-93971.382920,0.000000,0.000000,0.087615,6.580563,3.595018,-2.268124,0.000000,0.000000,10.263196,19.404387,1.622001,10.263196,4.405041,1.174944,17.000000,21.000000,2.000000,989,913,2,970,898,0,1010,930,3,1.668388,   422.801122,    20.562128,   255.000000,     0.000000,     0.000000,  4845.000000,19,3.282025,    82.361702,     9.075335,    95.000000,     0.000000,     0.000000,  9531.000000,1124
959,1312.000000,1198400.000000,474744.000000,1968.000000,913.414634,361.847561,1.500000,1640.000000,25441.512195,56190.439024,10758.926829,0.000000,0.000000,0.114182,1.771323,3.912166,0.749072,0.000000,0.000000,5.797672,7.017555,0.727181,5.797672,2.649067,0.899251,15.000000,10.000000,2.000000,362,913,2,352,900,0,370,928,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.599085,    99.509625,     9.975451,    82.000000,     0.000000,     0.000000,  4722.000000,403
960,2792.000000,2563864.000000,1652320.000000,4188.000000,918.289398,591.805158,1.500000,3490.000000,117558.005731,279742.166189,-43530.567335,0.000000,0.000000,0.088771,2.990187,7.115477,-1.107237,0.000000,0.000000,10.194435,20.947725,1.779917,10.194435,4.576868,1.211899,19.000000,14.000000,2.000000,592,918,2,579,900,0,606,937,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.910100,   205.079339,    14.320591,   175.000000,     0.000000,     0.000000, 13709.000000,1025
961,4620.000000,4260740.000000,3043844.000000,6930.000000,922.238095,658.840693,1.500000,5775.000000,345562.749783,645718.095238,7095.238095,0.000000,0.000000,0.075052,4.490944,8.391772,0.092210,0.000000,0.000000,12.957767,38.645347,2.827847,12.957767,6.216538,1.414117,27.000000,20.000000,2.000000,659,922,2,641,900,0,679,949,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.280087,   173.704604,    13.179704,   151.000000,     0.000000,     0.000000, 19774.000000,1538
962,2960.000000,2712528.000000,868724.000000,4440.000000,916.394595,293.487838,1.500000,3700.000000,202099.562162,199571.113514,-20961.794595,0.000000,0.000000,0.087059,4.755284,4.695791,-0.493219,0.000000,0.000000,9.538133,22.909351,1.922829,9.538133,4.786371,1.243503,21.000000,19.000000,2.000000,293,916,2,276,901,0,312,937,3,2.239865,   566.339877,    23.797896,   255.000000,     0.000000,     0.000000,  6630.000000,26,2.205743,    49.904597,     7.064319,    65.000000,     0.000000,     0.000000,  6529.000000,854
963,2660.000000,2438600.000000,1321224.000000,3990.000000,916.766917,496.700752,1.500000,3325.000000,150053.798496,163755.488722,55418.466165,0.000000,0.000000,0.090216,4.071347,4.443110,1.503646,0.000000,0.000000,8.604673,16.596629,1.427981,8.604673,4.073896,1.126093,16.000000,16.000000,2.000000,497,917,2,482,901,0,513,932,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,2.231579,    52.983583,     7.278982,    66.000000,     0.000000,     0.000000,  5936.000000,629
964,2532.000000,2335456.000000,2733776.000000,3798.000000,922.375987,1079.690363,1.500000,3165.000000,71997.244866,237802.060032,23438.774092,0.000000,0.000000,0.091711,2.086240,6.890711,0.679178,0.000000,0.000000,9.068662,14.737681,1.276105,9.068662,3.838969,1.084665,21.000000,11.000000,2.000000,1080,922,2,1069,902,0,1090,943,3,1.309242,   332.273751,    18.228378,   255.000000,     0.000000,     0.000000,  3315.000000,13,2.554107,    58.673879,     7.659888,    94.000000,     0.000000,     0.000000,  6467.000000,797
965,6120.000000,5719004.000000,3410148.000000,9180.000000,934.477778,557.213725,1.500000,7650.000000,1007228.447059,1047590.977778,-606432.933333,0.000000,0.000000,0.068338,8.997588,9.358147,-5.417275,0.000000,0.000000,18.424072,56.108264,3.748581,18.424072,7.490545,1.553420,31.000000,24.000000,2.000000,557,934,2,533,903,0,581,964,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3.178431,    94.834965,     9.738325,   122.000000,     0.000000,     0.000000, 19452.000000,1749
966,2992.000000,2743884.000000,2579044.000000,4488.000000,917.073529,861.979947,1.500000,3740.000000,243170.796791,147603.823529,-53659.588235,0.000000,0.000000,0.086747,5.640219,3.423593,-1.244606,0.000000,0.000000,9.150560,18.547033,1.540700,9.150560,4.306627,1.154975,15.000000,18.000000,2.000000,862,917,2,844,903,0,880,932,3,1.363636,   345.983405,    18.600629,   255.000000,     0.000000,     0.000000,  4080.000000,16,6.283757,   329.290569,    18.146365,   177.000000,     0.000000,     0.000000, 18801.000000,1354
967,748.000000,681660.000000,412904.000000,1122.000000,911.310160,552.010695,1.500000,935.000000,13143.914439,9616.042781,993.518717,0.000000,0.000000,0.137703,1.935780,1.416210,0.146321,0.000000,0.000000,3.489692,3.181639,0.374560,3.489692,1.783715,0.720843,7.000000,9.000000,2.000000,552,911,2,544,904,0,561,918,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.283422,   144.149819,    12.006241,    98.000000,     0.000000,     0.000000,  3204.000000,194
968,848.000000,773572.000000,704184.000000,1272.000000,912.231132,830.405660,1.500000,1060.000000,21132.452830,13550.698113,7876.490566,0.000000,0.000000,0.132062,2.632826,1.688239,0.981307,0.000000,0.000000,4.453126,4.052523,0.459824,4.453126,2.013088,0.771846,9.000000,11.000000,2.000000,830,912,2,819,904,0,840,921,3,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4.642689,   223.231092,    14.940920,   154.000000,     0.000000,     0.000000,  3937.000000,378
