Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,MS2mol_mean,MS2mol_var,MS2mol_stdev,MS2mol_max,MS2mol_min,MS2mol_median,MS2mol_muc,MS2mol_notempty,celnumber
1476,3.000000,1814.000000,631.000000,0.000000,604.666667,210.333333,0.000000,0.000000,0.666667,0.666667,0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,210,605,0,210,604,0,211,605,0,73.666667,  1121.333333,    33.486316,    93.000000,    35.000000,    93.000000,   221.000000,3,597
1477,3.000000,1814.000000,2309.000000,0.000000,604.666667,769.666667,0.000000,0.000000,0.666667,0.666667,-0.333333,0.000000,0.000000,0.000000,0.154080,0.154080,-0.077040,0.000000,0.000000,0.308161,0.017806,0.000000,0.308161,0.133437,-0.000000,1.000000,1.000000,0.000000,770,605,0,769,604,0,770,605,0,7.666667,     0.333333,     0.577350,     8.000000,     7.000000,     8.000000,    23.000000,3,0
1478,1.000000,605.000000,823.000000,0.000000,605.000000,823.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,823,605,0,823,605,0,823,605,0,2.500000,     0.000000,     0.000000,     2.000000,     2.000000,     2.000000,     2.000000,1,604
1479,4.000000,2422.000000,3582.000000,0.000000,605.500000,895.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,896,606,0,895,605,0,896,606,0,6.250000,     4.250000,     2.061553,     8.000000,     4.000000,     5.000000,    25.000000,4,0
1480,8.000000,4856.000000,1540.000000,0.000000,607.000000,192.500000,0.000000,0.000000,10.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.625000,0.250000,0.250000,0.000000,0.000000,0.875000,0.093750,0.000000,0.875000,0.306186,-0.000000,1.000000,2.000000,0.000000,193,607,0,191,606,0,194,608,0,2.625000,     0.267857,     0.517549,     3.000000,     2.000000,     3.000000,    21.000000,8,0
1481,4.000000,2426.000000,3782.000000,0.000000,606.500000,945.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,946,607,0,945,606,0,946,607,0,13.000000,    48.666667,     6.976150,    19.000000,     6.000000,     8.000000,    52.000000,4,586
1482,4.000000,2430.000000,3662.000000,0.000000,607.500000,915.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,916,608,0,915,607,0,916,608,0,33.250000,     4.250000,     2.061553,    35.000000,    31.000000,    32.000000,   133.000000,4,611
1483,7.000000,4265.000000,787.000000,0.000000,609.285714,112.428571,0.000000,0.000000,1.714286,7.428571,-0.857143,0.000000,0.000000,0.000000,0.128022,0.554764,-0.064011,0.000000,0.000000,0.682786,0.066925,0.000000,0.682786,0.258698,-0.000000,2.000000,1.000000,0.000000,112,609,0,112,608,0,113,611,0,1.714286,     0.904762,     0.951190,     3.000000,     1.000000,     1.000000,    12.000000,7,589
1484,4.000000,2434.000000,878.000000,0.000000,608.500000,219.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.157490,0.157490,0.000000,0.000000,0.000000,0.314980,0.024803,0.000000,0.314980,0.157490,-0.000000,1.000000,1.000000,0.000000,220,609,0,219,608,0,220,609,0,14.000000,    13.333333,     3.651484,    18.000000,    10.000000,    12.000000,    56.000000,4,597
1485,8.000000,4879.000000,6831.000000,0.000000,609.875000,853.875000,0.000000,0.000000,4.875000,4.875000,-1.125000,0.000000,0.000000,0.000000,0.304688,0.304688,-0.070313,0.000000,0.000000,0.609375,0.087891,0.000000,0.609375,0.296464,-0.000000,1.000000,1.000000,0.000000,854,610,0,853,609,0,855,611,0,13.000000,   116.857143,    10.810048,    29.000000,     0.000000,    12.000000,   104.000000,7,591
